"81,4043; 1996; Mar Average; Morocco; MAR";81,4043;Mar Average;Morocco;Mar
"23,2691; 1996; Apr Average; Morocco; MAR";23,2691;Apr Average;Morocco;Mar
"38,6458; 1996; May Average; Morocco; MAR";38,6458;May Average;Morocco;Mar
"8,52351; 1996; Jun Average; Morocco; MAR";8,52351;Jun Average;Morocco;Mar
"5,62528; 1996; Jul Average; Morocco; MAR";5,62528;Jul Average;Morocco;Mar
"0,92331; 1996; Aug Average; Morocco; MAR";0,92331;Aug Average;Morocco;Mar
"24,2365; 1996; Sep Average; Morocco; MAR";24,2365;Sep Average;Morocco;Mar
"10,552; 1996; Oct Average; Morocco; MAR";10,552;Oct Average;Morocco;Mar
"22,6647; 1996; Nov Average; Morocco; MAR";22,6647;Nov Average;Morocco;Mar
"130,992; 1996; Dec Average; Morocco; MAR";130,992;Dec Average;Morocco;Mar
"65,2111; 1997; Jan Average; Morocco; MAR";65,2111;Jan Average;Morocco;Mar
"1,1579; 1997; Feb Average; Morocco; MAR";1,1579;Feb Average;Morocco;Mar
"29,6801; 1997; Mar Average; Morocco; MAR";29,6801;Mar Average;Morocco;Mar
"63,4173; 1997; Apr Average; Morocco; MAR";63,4173;Apr Average;Morocco;Mar
"15,807; 1997; May Average; Morocco; MAR";15,807;May Average;Morocco;Mar
"3,53205; 1997; Jun Average; Morocco; MAR";3,53205;Jun Average;Morocco;Mar
"3,15878; 1997; Jul Average; Morocco; MAR";3,15878;Jul Average;Morocco;Mar
"9,00413; 1997; Aug Average; Morocco; MAR";9,00413;Aug Average;Morocco;Mar
"28,4273; 1997; Sep Average; Morocco; MAR";28,4273;Sep Average;Morocco;Mar
"17,8979; 1997; Oct Average; Morocco; MAR";17,8979;Oct Average;Morocco;Mar
"40,7589; 1997; Nov Average; Morocco; MAR";40,7589;Nov Average;Morocco;Mar
"49,0958; 1997; Dec Average; Morocco; MAR";49,0958;Dec Average;Morocco;Mar
"37,6331; 1998; Jan Average; Morocco; MAR";37,6331;Jan Average;Morocco;Mar
"57,1683; 1998; Feb Average; Morocco; MAR";57,1683;Feb Average;Morocco;Mar
"24,1344; 1998; Mar Average; Morocco; MAR";24,1344;Mar Average;Morocco;Mar
"11,3522; 1998; Apr Average; Morocco; MAR";11,3522;Apr Average;Morocco;Mar
"18,6138; 1998; May Average; Morocco; MAR";18,6138;May Average;Morocco;Mar
"8,5021; 1998; Jun Average; Morocco; MAR";8,5021;Jun Average;Morocco;Mar
"0,15998; 1998; Jul Average; Morocco; MAR";0,15998;Jul Average;Morocco;Mar
"3,27479; 1998; Aug Average; Morocco; MAR";3,27479;Aug Average;Morocco;Mar
"13,7256; 1998; Sep Average; Morocco; MAR";13,7256;Sep Average;Morocco;Mar
"4,2036; 1998; Oct Average; Morocco; MAR";4,2036;Oct Average;Morocco;Mar
"4,35778; 1998; Nov Average; Morocco; MAR";4,35778;Nov Average;Morocco;Mar
"33,3177; 1998; Dec Average; Morocco; MAR";33,3177;Dec Average;Morocco;Mar
"53,4388; 1999; Jan Average; Morocco; MAR";53,4388;Jan Average;Morocco;Mar
"33,8405; 1999; Feb Average; Morocco; MAR";33,8405;Feb Average;Morocco;Mar
"36,1997; 1999; Mar Average; Morocco; MAR";36,1997;Mar Average;Morocco;Mar
"6,10214; 1999; Apr Average; Morocco; MAR";6,10214;Apr Average;Morocco;Mar
"8,07123; 1999; May Average; Morocco; MAR";8,07123;May Average;Morocco;Mar
"0,66028; 1999; Jun Average; Morocco; MAR";0,66028;Jun Average;Morocco;Mar
"0,78623; 1999; Jul Average; Morocco; MAR";0,78623;Jul Average;Morocco;Mar
"7,87909; 1999; Aug Average; Morocco; MAR";7,87909;Aug Average;Morocco;Mar
"15,6244; 1999; Sep Average; Morocco; MAR";15,6244;Sep Average;Morocco;Mar
"59,7793; 1999; Oct Average; Morocco; MAR";59,7793;Oct Average;Morocco;Mar
"27,0834; 1999; Nov Average; Morocco; MAR";27,0834;Nov Average;Morocco;Mar
"30,891; 1999; Dec Average; Morocco; MAR";30,891;Dec Average;Morocco;Mar
"18,3754; 2000; Jan Average; Morocco; MAR";18,3754;Jan Average;Morocco;Mar
"1,1793; 2000; Feb Average; Morocco; MAR";1,1793;Feb Average;Morocco;Mar
"2,36; 2000; Mar Average; Morocco; MAR";2,36;Mar Average;Morocco;Mar
"37,4674; 2000; Apr Average; Morocco; MAR";37,4674;Apr Average;Morocco;Mar
"17,388; 2000; May Average; Morocco; MAR";17,388;May Average;Morocco;Mar
"2,66802; 2000; Jun Average; Morocco; MAR";2,66802;Jun Average;Morocco;Mar
"1,28711; 2000; Jul Average; Morocco; MAR";1,28711;Jul Average;Morocco;Mar
"3,24504; 2000; Aug Average; Morocco; MAR";3,24504;Aug Average;Morocco;Mar
"12,0812; 2000; Sep Average; Morocco; MAR";12,0812;Sep Average;Morocco;Mar
"42,4593; 2000; Oct Average; Morocco; MAR";42,4593;Oct Average;Morocco;Mar
"19,5863; 2000; Nov Average; Morocco; MAR";19,5863;Nov Average;Morocco;Mar
"68,0867; 2000; Dec Average; Morocco; MAR";68,0867;Dec Average;Morocco;Mar
"33,0654; 2001; Jan Average; Morocco; MAR";33,0654;Jan Average;Morocco;Mar
"12,1268; 2001; Feb Average; Morocco; MAR";12,1268;Feb Average;Morocco;Mar
"12,73; 2001; Mar Average; Morocco; MAR";12,73;Mar Average;Morocco;Mar
"2,871; 2001; Apr Average; Morocco; MAR";2,871;Apr Average;Morocco;Mar
"11,3273; 2001; May Average; Morocco; MAR";11,3273;May Average;Morocco;Mar
"1,98751; 2001; Jun Average; Morocco; MAR";1,98751;Jun Average;Morocco;Mar
"0,10384; 2001; Jul Average; Morocco; MAR";0,10384;Jul Average;Morocco;Mar
"6,43367; 2001; Aug Average; Morocco; MAR";6,43367;Aug Average;Morocco;Mar
"14,7376; 2001; Sep Average; Morocco; MAR";14,7376;Sep Average;Morocco;Mar
"16,6313; 2001; Oct Average; Morocco; MAR";16,6313;Oct Average;Morocco;Mar
"20,9744; 2001; Nov Average; Morocco; MAR";20,9744;Nov Average;Morocco;Mar
"77,0306; 2001; Dec Average; Morocco; MAR";77,0306;Dec Average;Morocco;Mar
"2,12335; 2002; Jan Average; Morocco; MAR";2,12335;Jan Average;Morocco;Mar
"15,076; 2002; Feb Average; Morocco; MAR";15,076;Feb Average;Morocco;Mar
"77,7718; 2002; Mar Average; Morocco; MAR";77,7718;Mar Average;Morocco;Mar
"73,4751; 2002; Apr Average; Morocco; MAR";73,4751;Apr Average;Morocco;Mar
"19,04; 2002; May Average; Morocco; MAR";19,04;May Average;Morocco;Mar
"0,9242; 2002; Jun Average; Morocco; MAR";0,9242;Jun Average;Morocco;Mar
"0,0865; 2002; Jul Average; Morocco; MAR";0,0865;Jul Average;Morocco;Mar
"7,70606; 2002; Aug Average; Morocco; MAR";7,70606;Aug Average;Morocco;Mar
"5,34275; 2002; Sep Average; Morocco; MAR";5,34275;Sep Average;Morocco;Mar
"22,3522; 2002; Oct Average; Morocco; MAR";22,3522;Oct Average;Morocco;Mar
"81,1206; 2002; Nov Average; Morocco; MAR";81,1206;Nov Average;Morocco;Mar
"35,081; 2002; Dec Average; Morocco; MAR";35,081;Dec Average;Morocco;Mar
"33,6988; 2003; Jan Average; Morocco; MAR";33,6988;Jan Average;Morocco;Mar
"27,8715; 2003; Feb Average; Morocco; MAR";27,8715;Feb Average;Morocco;Mar
"49,7374; 2003; Mar Average; Morocco; MAR";49,7374;Mar Average;Morocco;Mar
"26,4767; 2003; Apr Average; Morocco; MAR";26,4767;Apr Average;Morocco;Mar
"9,82086; 2003; May Average; Morocco; MAR";9,82086;May Average;Morocco;Mar
"9,45031; 2003; Jun Average; Morocco; MAR";9,45031;Jun Average;Morocco;Mar
"4,14984; 2003; Jul Average; Morocco; MAR";4,14984;Jul Average;Morocco;Mar
"6,41163; 2003; Aug Average; Morocco; MAR";6,41163;Aug Average;Morocco;Mar
"5,22993; 2003; Sep Average; Morocco; MAR";5,22993;Sep Average;Morocco;Mar
"65,2284; 2003; Oct Average; Morocco; MAR";65,2284;Oct Average;Morocco;Mar
"51,1266; 2003; Nov Average; Morocco; MAR";51,1266;Nov Average;Morocco;Mar
"57,9542; 2003; Dec Average; Morocco; MAR";57,9542;Dec Average;Morocco;Mar
"5,33962; 2004; Jan Average; Morocco; MAR";5,33962;Jan Average;Morocco;Mar
"32,6826; 2004; Feb Average; Morocco; MAR";32,6826;Feb Average;Morocco;Mar
"44,5984; 2004; Mar Average; Morocco; MAR";44,5984;Mar Average;Morocco;Mar
"30,4454; 2004; Apr Average; Morocco; MAR";30,4454;Apr Average;Morocco;Mar
"41,6489; 2004; May Average; Morocco; MAR";41,6489;May Average;Morocco;Mar
"5,41434; 2004; Jun Average; Morocco; MAR";5,41434;Jun Average;Morocco;Mar
"5,34603; 2004; Jul Average; Morocco; MAR";5,34603;Jul Average;Morocco;Mar
"3,3038; 2004; Aug Average; Morocco; MAR";3,3038;Aug Average;Morocco;Mar
"5,38366; 2004; Sep Average; Morocco; MAR";5,38366;Sep Average;Morocco;Mar
"34,61; 2004; Oct Average; Morocco; MAR";34,61;Oct Average;Morocco;Mar
"28,2035; 2004; Nov Average; Morocco; MAR";28,2035;Nov Average;Morocco;Mar
"48,6167; 2004; Dec Average; Morocco; MAR";48,6167;Dec Average;Morocco;Mar
"4,58589; 2005; Jan Average; Morocco; MAR";4,58589;Jan Average;Morocco;Mar
"53,0168; 2005; Feb Average; Morocco; MAR";53,0168;Feb Average;Morocco;Mar
"24,9064; 2005; Mar Average; Morocco; MAR";24,9064;Mar Average;Morocco;Mar
"1,993; 2005; Apr Average; Morocco; MAR";1,993;Apr Average;Morocco;Mar
"2,97252; 2005; May Average; Morocco; MAR";2,97252;May Average;Morocco;Mar
"3,88299; 2005; Jun Average; Morocco; MAR";3,88299;Jun Average;Morocco;Mar
